Supplementary Table 5.  Raw measurements and metadata for F2s used in this study.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,Sex,Grandmother Inbred Line,Corticosterone ng/mL,Litter.ID,Partuition.Number,Litter.Size,Cage.ID,Week.4.Weight,Week.5.Weight,Week.6.Weight,Week.7.Weight,Week.8.Weight,Week.9.Weight,Fecal.Boli.4wk,Humidity.4wk,Time.of.Day.4wk,Fecal.Boli.8wk,OF.8wk.Estrous,Humidity.8wk,Time.of.Day.8wk,Temperature.LD,Humidity.LD,Time.of.Day.LD,Fecal.Boli.LD.Total,Estrous.LD,Distance.Traveled.4wk,Time.in.Center.4wk.increased.radius,Distance.Traveled.8wk,Time.in.Center.8wk.increased.radius,Light.Chamber.Entrances.LD,Center.Crosses.LD,Time.in.Light.Chamber.LD,Time.Past.Center.LD
14702,Female,Gough,1000,1486,2,9,46,12.1,14.1,14.6,16.3,17.1,17.7,3,24,8.3,1,Female,27,5.07,72,32,6.03,0,Female,156.9083111,353.5333333,161.5545706,504.1333333,195,58,581.3,310.2666667
14704,Female,Gough,NA,1486,2,9,46,12.1,13.7,15.9,18.2,18,18.4,9,24,8.9,7,Estrous,26,5.72,72,32,5.3,6,Female,134.7340098,510.2666667,157.1517663,489.4333333,296,56,647.6,221.6
14729,Male,Gough,NA,1485,2,5,47,14.5,16.7,16.5,16.6,15.5,16.1,6,28,5.77,6,Male,22,8.07,70,26,4.05,4,Male,138.6229701,612.2,125.0910894,378.3333333,NA,NA,NA,NA
14730,Male,Gough,NA,1485,2,5,47,13.2,15.1,15.6,14,13.7,14.4,11,27,6.13,7,Male,22,8.68,70,29,3.33,8,Male,115.4477703,551,117.153902,358.9,351,62,585.1333333,211.8666667
14742,Male,WSB,NA,1468,4,6,48,14.2,17.6,19.5,19.8,20,21.3,12,32,3.23,4,Male,22,10.35,70,35,7.67,0,Male,113.6519472,611.3,125.2366038,571.9666667,279,52,735.7333333,239.6666667
14743,Male,WSB,NA,1468,4,6,49,11.6,14.7,16.3,16.5,16.2,16.7,11,30,10.32,12,Male,25,5.25,72,43,5.85,11,Male,200.7218831,401.9,243.187877,435.3666667,437,61,641.0333333,242.3666667
14744,Male,WSB,NA,1468,4,6,49,12,15.4,17.8,16.9,17.3,17.9,9,30,9.7,9,Male,26,4.65,72,42,5.12,11,Male,153.0411569,394.0666667,154.228038,616,240,64,726.2666667,309.5333333
14745,Male,WSB,NA,1468,4,6,48,12.9,17.6,18.5,18.5,19,21,3,32,3.85,7,Male,22,9.75,70,33,8.38,5,Male,208.797663,453.2666667,212.060214,443.4666667,311,62,566.0666667,222
14746,Female,WSB,NA,1468,4,6,50,12.9,15.4,16.7,17.7,18.1,19.2,11,31,8.57,12,Estrous,28,3.45,72,41,3.13,8,Female,128.747222,511.1666667,114.0568021,441.7333333,237,45,647.2,196.5
14747,Female,WSB,NA,1468,4,6,50,10.1,11.2,12.9,13.7,13.6,14.2,10,32,7.93,15,Female,29,2.82,72,40,3.87,0,Female,144.5087921,379.6333333,156.4345589,443.9,279,48,576.9666667,215.5
